episode,turns,won,opponent_type,rl_total,rl_action_head,rl_target_head,rl_card_select_head,opp_total,opp_action_head,opp_target_head,opp_card_select_head
92869,13,1,ComputerPlayer7,50,43,7,0,0,0,0,0
92803,16,0,ComputerPlayer7,81,76,5,0,0,0,0,0
92893,12,0,ComputerPlayer7,36,35,1,0,0,0,0,0
92773,18,0,ComputerPlayer7,134,119,11,4,0,0,0,0
92775,23,0,ComputerPlayer7,116,105,7,4,0,0,0,0
92887,22,0,ComputerPlayer7,49,42,0,7,0,0,0,0
92841,25,1,ComputerPlayer7,88,76,11,1,0,0,0,0
92895,12,0,ComputerPlayer7,39,37,2,0,0,0,0,0
92837,23,1,ComputerPlayer7,87,80,7,0,0,0,0,0
92894,12,0,ComputerPlayer7,24,21,3,0,0,0,0,0
92884,16,0,ComputerPlayer7,45,41,1,3,0,0,0,0
92911,14,0,ComputerPlayer7,17,17,0,0,0,0,0,0
92902,13,1,ComputerPlayer7,34,27,3,4,0,0,0,0
92861,20,0,ComputerPlayer7,64,57,6,1,0,0,0,0
92862,13,1,ComputerPlayer7,70,62,2,6,0,0,0,0
92871,17,1,ComputerPlayer7,64,54,3,7,0,0,0,0
92892,18,0,ComputerPlayer7,29,27,2,0,0,0,0,0
92898,16,0,ComputerPlayer7,37,33,3,1,0,0,0,0
92909,10,0,ComputerPlayer7,29,23,5,1,0,0,0,0
92903,14,0,ComputerPlayer7,24,22,2,0,0,0,0,0
92913,10,0,ComputerPlayer7,31,29,0,2,0,0,0,0
92885,28,0,ComputerPlayer7,54,43,7,4,0,0,0,0
92905,18,0,ComputerPlayer7,37,33,3,1,0,0,0,0
92901,16,0,ComputerPlayer7,35,31,4,0,0,0,0,0
92881,26,0,ComputerPlayer7,62,56,6,0,0,0,0,0
92914,18,0,ComputerPlayer7,38,34,0,4,0,0,0,0
92883,17,1,ComputerPlayer7,54,41,11,2,0,0,0,0
92912,17,1,ComputerPlayer7,50,46,2,2,0,0,0,0
92928,14,0,ComputerPlayer7,35,34,0,1,0,0,0,0
92890,13,1,ComputerPlayer7,38,37,1,0,0,0,0,0
92908,18,0,ComputerPlayer7,39,39,0,0,0,0,0,0
92916,12,0,ComputerPlayer7,36,35,1,0,0,0,0,0
92932,10,0,ComputerPlayer7,17,13,2,2,0,0,0,0
92858,26,0,ComputerPlayer7,95,88,7,0,0,0,0,0
92934,8,0,ComputerPlayer7,23,23,0,0,0,0,0,0
92915,18,0,ComputerPlayer7,41,39,1,1,0,0,0,0
